order_id,order_status,customer,order_date,order_quantity,sales,discount,product_category,product_sub_category
5284,Order Finished,Annie Cyprus,2011-07-08,7,118760,0.1,Office Supplies,Binders & Binder Accessories
5316,Order Finished,Clay Rozendal,2009-01-30,42,2570740,0.1,Technology,Computer Peripherals
5409,Order Finished,Don Jones,2012-01-08,11,97820,0.01,Office Supplies,Paper
5506,Order Finished,Beth Thompson,2010-11-07,22,259240,0.05,Office Supplies,Paper
5569,Order Finished,Frank Price,2010-04-29,12,237940,0.09,Furniture,Office Furnishings
5607,Order Finished,Michelle Lonsdale,2011-12-31,8,123743,0.0,Technology,Telephones & Communication
5894,Order Finished,Ann Chong,2009-08-12,7,768660,0.1,Office Supplies,Binders & Binder Accessories
5925,Order Finished,Joy Bell,2011-11-12,44,7844840,0.08,Furniture,Office Furnishings
6016,Order Finished,Skye Norling,2012-01-20,19,416560,0.07,Office Supplies,Paper
6182,Order Finished,Grant Carroll,2012-07-21,40,510960,0.04,Office Supplies,Paper
6535,Order Finished,Adrian Hane,2012-06-12,11,624720,0.07,Office Supplies,Pens & Art Supplies
6884,Order Finished,Skye Norling,2009-01-15,41,434000,0.01,Office Supplies,Paper
6916,Order Finished,Andrew Gjertsen,2010-06-04,40,872340,0.08,Office Supplies,Storage & Organization
6980,Order Finished,Ralph Knight,2010-02-18,18,272580,0.05,Office Supplies,Binders & Binder Accessories
6982,Order Finished,Dorothy Wardle,2011-11-16,32,2622500,0.0,Technology,Computer Peripherals
7430,Order Finished,Barry Weirich,2010-06-08,50,1503540,0.05,Office Supplies,Envelopes
7906,Order Finished,Beth Paige,2009-10-17,37,2006120,0.03,Office Supplies,Appliances
8391,Order Finished,Sylvia Foulston,2011-08-28,4,2533440,0.04,Furniture,Chairs & Chairmats
8419,Order Finished,Nicole Hansen,2011-09-29,19,736080,0.07,Office Supplies,Paper
8833,Order Finished,Nicole Hansen,2012-05-04,40,6677960,0.0,Office Supplies,Storage & Organization
8995,Order Finished,Beth Paige,2011-05-17,5,48320,0.08,Office Supplies,Binders & Binder Accessories
9126,Order Finished,Sylvia Foulston,2009-11-17,47,5599400,0.04,Office Supplies,Appliances
9127,Order Finished,Bryan Davis,2011-10-10,7,4079120,0.04,Office Supplies,Storage & Organization
9763,Order Finished,Alan Barnes,2011-08-13,44,352520,0.07,Office Supplies,Labels
9927,Order Returned,Grant Carroll,2011-08-16,32,9310140,0.0,Furniture,Bookcases
10022,Order Finished,Delfina Latchford,2009-03-04,1,24360,0.06,Office Supplies,Paper
10437,Order Finished,Don Jones,2009-08-18,50,1641040,0.01,Office Supplies,Binders & Binder Accessories
10535,Order Finished,Doug Bickford,2011-05-27,25,1709760,0.09,Furniture,Office Furnishings
10789,Order Finished,Jamie Kunitz,2010-08-23,15,617080,0.0,Office Supplies,Pens & Art Supplies
10791,Order Finished,Anthony Johnson,2011-08-19,20,801140,0.05,Office Supplies,Paper
10945,Order Finished,Ralph Knight,2012-01-03,14,2340050,0.04,Technology,Telephones & Communication
11137,Order Finished,Allen Rosenblatt,2012-11-29,48,10377720,0.1,Office Supplies,Storage & Organization
11202,Order Finished,Barry Weirich,2012-03-17,8,679620,0.05,Office Supplies,Binders & Binder Accessories
11456,Order Finished,Doug Bickford,2010-04-12,15,3039800,0.09,Furniture,Office Furnishings
11460,Order Finished,Carl Jackson,2010-08-24,30,204480,0.09,Office Supplies,Labels
11495,Order Finished,Brendan Dodson,2011-07-04,6,1931380,0.0,Furniture,Tables
11911,Order Returned,Edward Hooks,2010-11-10,25,795680,0.0,Office Supplies,Binders & Binder Accessories
11941,Order Finished,Jamie Kunitz,2010-06-24,4,146140,0.08,Office Supplies,Storage & Organization
12289,Order Finished,Brendan Dodson,2011-12-24,25,6038820,0.04,Technology,Office Machines
12352,Order Finished,Hunter Glantz,2012-03-23,5,73720,0.07,Office Supplies,Binders & Binder Accessories
12485,Order Finished,Eugene Barchas,2010-08-07,24,10814620,0.04,Furniture,Chairs & Chairmats
12544,Order Finished,Jim Radford,2009-03-03,34,148600,0.08,Furniture,Office Furnishings
12771,Order Finished,Carlos Soltero,2009-01-17,40,2286980,0.08,Office Supplies,Labels
12929,Order Finished,Jim Radford,2010-08-30,19,10594940,0.02,Furniture,Chairs & Chairmats
13280,Order Finished,Grant Carroll,2009-09-11,40,921360,0.01,Office Supplies,Storage & Organization
13313,Order Finished,Skye Norling,2009-07-16,47,2041220,0.04,Office Supplies,Appliances
13346,Order Finished,Doug Bickford,2012-11-15,44,536680,0.09,Office Supplies,Paper
13702,Order Finished,Grant Carroll,2011-09-10,6,418000,0.08,Office Supplies,Paper
13795,Order Finished,Muhammed Mac Intyre,2011-04-10,30,1002640,0.04,Office Supplies,Binders & Binder Accessories
14116,Order Finished,Doug Bickford,2011-10-09,1,80200,0.09,Office Supplies,Binders & Binder Accessories
14372,Order Finished,Beth Thompson,2012-10-23,34,10701220,0.09,Furniture,Bookcases
14726,Order Finished,Ralph Knight,2012-01-08,15,621740,0.07,Technology,Computer Peripherals
15106,Order Returned,Dorothy Badders,2011-01-27,42,567160,0.03,Furniture,Office Furnishings
15108,Order Finished,Delfina Latchford,2009-08-27,50,4132320,0.02,Office Supplies,Paper
15205,Order Finished,Julia West,2011-03-17,18,9210720,0.02,Furniture,Chairs & Chairmats
15591,Order Finished,Brad Eason,2012-06-06,31,852680,0.0,Furniture,Office Furnishings
15907,Order Finished,Thomas Seio,2011-04-11,36,3674880,0.01,Furniture,Bookcases
15937,Order Finished,Monica Federle,2012-11-06,32,622880,0.04,Technology,Computer Peripherals
16039,Order Finished,Michelle Lonsdale,2012-05-16,3,242240,0.1,Technology,Computer Peripherals
16193,Order Finished,Frank Price,2012-04-09,8,600400,0.0,Office Supplies,Storage & Organization
16423,Order Finished,Bryan Davis,2012-08-05,19,256420,0.05,Office Supplies,Paper
16451,Order Finished,Don Jones,2009-07-22,9,505580,0.09,Office Supplies,Binders & Binder Accessories
16545,Order Finished,Carlos Soltero,2010-05-09,10,101940,0.09,Office Supplies,Pens & Art Supplies
16706,Order Finished,Beth Thompson,2012-06-27,47,3887440,0.03,Furniture,Office Furnishings
16741,Order Finished,Nicole Hansen,2010-09-30,6,315940,0.01,Office Supplies,Paper
16932,Order Finished,Carlos Soltero,2010-04-15,25,289680,0.09,Office Supplies,Paper
17283,Order Finished,Dorothy Badders,2011-09-14,4,10944240,0.06,Technology,Office Machines
17286,Order Finished,Muhammed Mac Intyre,2010-09-21,7,3621340,0.09,Furniture,Chairs & Chairmats
17409,Order Finished,Muhammed Mac Intyre,2010-08-17,31,1267120,0.09,Technology,Computer Peripherals
17764,Order Finished,Don Miller,2009-09-16,27,1288800,0.04,Office Supplies,Paper
18080,Order Finished,Sylvia Foulston,2009-06-22,7,2423960,0.1,Furniture,Chairs & Chairmats
18113,Order Finished,Becky Castell,2012-08-28,27,6632160,0.08,Furniture,Chairs & Chairmats
18144,Order Finished,Dorothy Wardle,2011-06-07,48,414160,0.09,Office Supplies,Paper
18308,Order Finished,Ann Chong,2009-10-09,30,228240,0.05,Office Supplies,Binders & Binder Accessories
18887,Order Finished,Clay Rozendal,2010-12-05,9,346834,0.0,Technology,Telephones & Communication
19078,Order Returned,Brendan Dodson,2009-07-27,21,512240,0.03,Office Supplies,Appliances
19138,Order Returned,Carlos Daly,2011-09-05,30,774000,0.01,Office Supplies,Storage & Organization
19655,Order Finished,Alan Barnes,2009-01-11,31,2286900,0.06,Technology,Computer Peripherals
19686,Order Finished,Alan Barnes,2010-08-15,2,84620,0.06,Technology,Office Machines
20007,Order Finished,Nicole Hansen,2009-08-05,49,165220,0.08,Office Supplies,Pens & Art Supplies
20071,Order Finished,Cari Schnelling,2011-09-17,31,1579880,0.1,Furniture,Chairs & Chairmats
20160,Order Finished,Chad Cunningham,2011-10-22,42,870480,0.08,Office Supplies,Paper
20263,Order Finished,Bryan Mills,2009-11-14,8,947400,0.05,Office Supplies,Binders & Binder Accessories
21285,Order Finished,Adrian Hane,2010-07-03,32,109560,0.02,Office Supplies,Pens & Art Supplies
21607,Order Finished,Heather Kirkland,2012-03-15,17,1237800,0.09,Office Supplies,Pens & Art Supplies
21636,Order Finished,Fred Wasserman,2009-08-10,35,3330079,0.02,Technology,Telephones & Communication
21889,Order Finished,Becky Castell,2010-04-01,21,2099580,0.08,Furniture,Office Furnishings
22151,Order Finished,Beth Thompson,2010-07-31,49,931660,0.1,Furniture,Office Furnishings
22342,Order Finished,Claudia Miner,2009-05-29,13,483412,0.0,Technology,Telephones & Communication
22469,Order Finished,Jack Lebron,2010-10-11,44,551820,0.1,Technology,Telephones & Communication
22501,Order Finished,Alan Barnes,2010-05-18,2,61660,0.04,Office Supplies,Envelopes
22532,Order Finished,Carlos Soltero,2011-02-08,13,243320,0.03,Office Supplies,Binders & Binder Accessories
23264,Order Finished,Clay Rozendal,2010-12-07,16,216840,0.02,Office Supplies,Paper
23584,Order Finished,Alan Barnes,2012-03-12,14,5342420,0.06,Technology,Office Machines
24007,Order Finished,Joy Bell,2010-08-26,26,1063320,0.08,Technology,Computer Peripherals
24038,Order Finished,Jack Lebron,2011-06-20,38,206140,0.1,Office Supplies,Pens & Art Supplies
24097,Order Finished,Anthony Johnson,2010-08-04,1,34380,0.0,Technology,Computer Peripherals
24128,Order Finished,Eugene Barchas,2010-11-23,13,541260,0.1,Office Supplies,Paper
24294,Order Finished,Thomas Seio,2009-08-02,24,9731440,0.03,Technology,Office Machines
24387,Order Finished,Bryan Mills,2011-08-10,23,2006620,0.01,Furniture,Office Furnishings
24515,Order Finished,Eugene Barchas,2010-05-06,41,6102540,0.1,Technology,Office Machines
24871,Order Finished,Carl Ludwig,2011-03-23,6,287560,0.04,Furniture,Office Furnishings
25318,Order Finished,Julia West,2011-11-19,22,881840,0.05,Furniture,Office Furnishings
25377,Order Finished,Don Jones,2012-11-26,3,8687020,0.09,Technology,Office Machines
25634,Order Finished,Mike Pelletier,2010-07-29,29,1186640,0.03,Technology,Computer Peripherals
25733,Order Finished,Eugene Barchas,2012-05-12,24,1114460,0.09,Office Supplies,Binders & Binder Accessories
25767,Order Finished,Ann Chong,2012-03-03,7,523760,0.08,Technology,Computer Peripherals
26023,Order Finished,Charles Mc Crossin,2010-08-20,49,241540,0.03,Office Supplies,Rubber Bands
26051,Order Finished,Annie Cyprus,2010-06-27,22,1591480,0.0,Furniture,Chairs & Chairmats
26116,Order Finished,Carlos Soltero,2012-10-29,36,1394820,0.04,Office Supplies,Paper
26182,Order Finished,Doug Bickford,2010-01-16,30,9369800,0.01,Furniture,Bookcases
26272,Order Finished,Carlos Daly,2012-06-29,6,1811880,0.04,Furniture,Chairs & Chairmats
26370,Order Finished,Fred Wasserman,2011-08-08,12,540460,0.08,Office Supplies,Paper
26499,Order Finished,Sylvia Foulston,2010-02-21,11,64800,0.05,Office Supplies,Labels
26531,Order Finished,Michelle Lonsdale,2011-06-20,26,9377897,0.0,Technology,Telephones & Communication
26567,Order Finished,Sylvia Foulston,2009-09-04,8,101400,0.08,Office Supplies,Binders & Binder Accessories
26854,Order Finished,Charlotte Melton,2009-06-21,1,68220,0.02,Furniture,Office Furnishings
27109,Order Finished,Barry French,2012-02-08,48,1076440,0.01,Technology,Computer Peripherals
27111,Order Finished,Heather Kirkland,2009-03-11,11,2128460,0.06,Technology,Computer Peripherals
27264,Order Finished,Henry Goldwyn,2011-06-04,3,148100,0.02,Furniture,Office Furnishings
27392,Order Finished,Frank Price,2012-03-02,37,11507700,0.0,Technology,Office Machines
27555,Order Finished,Ralph Knight,2009-09-01,32,418840,0.1,Office Supplies,Paper
27680,Order Finished,Delfina Latchford,2010-01-26,32,648800,0.1,Office Supplies,Appliances
27778,Order Finished,Roy Skaria,2011-09-02,1,465340,0.02,Office Supplies,Binders & Binder Accessories
27909,Order Finished,Monica Federle,2012-02-07,1,124520,0.09,Office Supplies,Paper
28003,Order Returned,Charles Mc Crossin,2011-03-19,31,315580,0.09,Office Supplies,Paper
28035,Order Finished,Don Miller,2011-05-08,19,752420,0.03,Office Supplies,Binders & Binder Accessories
28135,Order Finished,Jeremy Lonsdale,2009-09-25,37,3202480,0.08,Office Supplies,Appliances
28165,Order Finished,Grant Carroll,2012-07-09,2,49920,0.05,Office Supplies,Binders & Binder Accessories
28289,Order Finished,Carl Ludwig,2010-01-14,31,333520,0.01,Office Supplies,Paper
28486,Order Finished,Carlos Daly,2009-08-26,2,1622260,0.08,Office Supplies,Storage & Organization
28675,Order Finished,Ralph Knight,2009-10-08,15,1645685,0.1,Technology,Telephones & Communication
28870,Order Finished,Cindy Schnelling,2011-11-10,35,6621891,0.05,Technology,Telephones & Communication
28871,Order Finished,Claudia Miner,2012-04-15,10,110040,0.08,Technology,Computer Peripherals
29030,Order Finished,Roy Skaria,2012-01-02,10,385160,0.05,Office Supplies,Pens & Art Supplies
29095,Order Returned,Delfina Latchford,2011-03-08,40,583340,0.01,Office Supplies,Binders & Binder Accessories
29287,Order Finished,Edward Hooks,2009-07-02,50,562780,0.1,Office Supplies,Binders & Binder Accessories
29510,Order Finished,Don Miller,2011-04-15,22,12247880,0.01,Furniture,Bookcases
29861,Order Returned,Brad Eason,2012-04-25,11,70340,0.03,Office Supplies,Labels
30947,Order Finished,Charles Mc Crossin,2010-07-14,17,1383180,0.03,Office Supplies,Binders & Binder Accessories
31077,Order Finished,Bryan Mills,2010-10-23,36,3910153,0.06,Technology,Telephones & Communication
31111,Order Finished,Monica Federle,2009-08-24,27,435860,0.03,Office Supplies,Paper
31169,Order Finished,Michelle Lonsdale,2011-06-09,6,509520,0.06,Furniture,Office Furnishings
31364,Order Finished,Beth Thompson,2009-05-01,2,1578020,0.07,Office Supplies,Storage & Organization
31393,Order Finished,Cindy Schnelling,2012-05-11,4,195140,0.04,Furniture,Office Furnishings
31492,Order Finished,Nicole Hansen,2010-10-15,26,643360,0.04,Office Supplies,Appliances
31558,Order Finished,Cari Schnelling,2011-07-23,12,7342600,0.04,Office Supplies,Appliances
31618,Order Finished,Roy Skaria,2011-07-11,14,806340,0.02,Office Supplies,Binders & Binder Accessories
31684,Order Finished,Susan Vittorini,2012-09-16,15,179940,0.02,Office Supplies,Paper
31781,Order Finished,Sylvia Foulston,2009-01-16,46,498040,0.1,Office Supplies,Binders & Binder Accessories
31781,Order Cancelled,Sylvia Foulston,2009-01-16,46,498040,0.1,Office Supplies,Binders & Binder Accessories
32193,Order Finished,Chad Cunningham,2010-10-20,4,81440,0.1,Office Supplies,Paper
32229,Order Finished,Carlos Daly,2010-08-30,8,2438380,0.02,Technology,Office Machines
32743,Order Finished,Grant Carroll,2010-05-07,19,7097340,0.01,Office Supplies,Appliances
32806,Order Finished,Julia West,2011-06-21,8,357560,0.02,Furniture,Office Furnishings
33123,Order Finished,Roy Skaria,2010-11-24,41,12091960,0.08,Furniture,Bookcases
33159,Order Finished,Cindy Schnelling,2012-04-27,3,113390,0.01,Technology,Telephones & Communication
33186,Order Finished,Don Jones,2012-08-28,24,2701062,0.01,Technology,Telephones & Communication
33377,Order Finished,Beth Thompson,2011-07-31,20,200800,0.06,Office Supplies,Paper
33444,Order Finished,Alan Barnes,2012-10-06,11,61020,0.09,Office Supplies,Pens & Art Supplies
33703,Order Finished,Carl Ludwig,2010-02-06,4,484720,0.08,Technology,Computer Peripherals
33734,Order Finished,Jamie Kunitz,2011-10-17,13,743880,0.05,Office Supplies,Paper
33888,Order Finished,Heather Kirkland,2009-08-20,31,698860,0.04,Office Supplies,Binders & Binder Accessories
33894,Order Finished,Doug Bickford,2010-06-14,14,281320,0.0,Office Supplies,Paper
34177,Order Finished,Toby Braunhardt,2009-08-15,13,68840,0.02,Office Supplies,Labels
34215,Order Finished,Cari Schnelling,2011-05-14,6,71300,0.02,Office Supplies,Binders & Binder Accessories
34246,Order Finished,Thomas Seio,2010-10-07,49,399720,0.03,Office Supplies,Appliances
34631,Order Finished,Brendan Dodson,2009-10-23,5,44120,0.06,Office Supplies,Binders & Binder Accessories
35047,Order Returned,Charlotte Melton,2010-06-09,31,296340,0.0,Office Supplies,Rubber Bands
35266,Order Finished,Beth Thompson,2011-01-10,39,434500,0.07,Office Supplies,Pens & Art Supplies
35847,Order Finished,Eugene Barchas,2009-01-30,23,723300,0.08,Technology,Computer Peripherals
36001,Order Finished,Michelle Lonsdale,2011-03-28,45,2077640,0.05,Office Supplies,Binders & Binder Accessories
36134,Order Finished,Grant Carroll,2010-11-22,6,1653947,0.01,Technology,Telephones & Communication
36135,Order Finished,Beth Paige,2011-05-30,33,1998452,0.02,Technology,Telephones & Communication
36644,Order Finished,Dorothy Wardle,2012-05-13,24,4596640,0.06,Technology,Computer Peripherals
36646,Order Finished,Muhammed Mac Intyre,2010-06-08,24,2336300,0.04,Office Supplies,Storage & Organization
36707,Order Returned,Charlotte Melton,2009-11-29,47,363560,0.02,Office Supplies,Rubber Bands
37253,Order Finished,Muhammed Mac Intyre,2012-09-01,46,2368640,0.09,Technology,Computer Peripherals
37541,Order Finished,Claudia Miner,2010-02-26,3,143880,0.01,Technology,Computer Peripherals
37634,Order Finished,Brendan Dodson,2012-05-21,32,736360,0.07,Office Supplies,Storage & Organization
37793,Order Finished,Dorothy Wardle,2009-11-08,16,448940,0.08,Office Supplies,"Scissors, Rulers & Trimmers"
37860,Order Returned,Mike Pelletier,2010-08-27,1,209700,0.07,Furniture,Office Furnishings
38884,Order Finished,Edward Hooks,2012-08-17,47,512000,0.03,Office Supplies,Paper
39364,Order Finished,Jamie Kunitz,2012-11-09,29,5509860,0.06,Furniture,Office Furnishings
39457,Order Finished,Julia West,2011-06-02,40,9684420,0.03,Furniture,Chairs & Chairmats
39683,Order Finished,Jeremy Lonsdale,2011-08-10,31,1231160,0.04,Office Supplies,Binders & Binder Accessories
39846,Order Finished,Cindy Schnelling,2009-02-27,14,142940,0.06,Technology,Computer Peripherals
40036,Order Finished,Heather Kirkland,2010-06-07,10,1136671,0.02,Technology,Telephones & Communication
40067,Order Finished,Alan Barnes,2012-02-17,38,4314617,0.0,Technology,Telephones & Communication
40132,Order Returned,Hunter Glantz,2012-02-23,26,2726000,0.04,Furniture,Chairs & Chairmats
40160,Order Returned,Julia West,2009-10-15,23,2808440,0.1,Furniture,Office Furnishings
40518,Order Finished,Carlos Daly,2009-03-13,3,35040,0.05,Office Supplies,Binders & Binder Accessories
40519,Order Cancelled,N UL L,2009-03-13,3,35040,0.05,Office Supplies,Binders & Binder Accessories
40804,Order Finished,Barry French,2010-03-12,36,8547600,0.06,Furniture,Chairs & Chairmats
40902,Order Finished,Susan Vittorini,2009-07-07,25,384360,0.02,Office Supplies,Binders & Binder Accessories
41063,Order Finished,Carl Jackson,2012-11-21,22,967920,0.01,Office Supplies,Pens & Art Supplies
41153,Order Finished,Alan Barnes,2009-03-02,29,1724400,0.1,Technology,Computer Peripherals
41184,Order Finished,Charlotte Melton,2011-09-22,7,240060,0.02,Office Supplies,Storage & Organization
41409,Order Finished,Beth Thompson,2011-07-21,1,37840,0.0,Office Supplies,Binders & Binder Accessories
41696,Order Finished,Bryan Mills,2009-07-13,45,474560,0.03,Office Supplies,Appliances
42209,Order Finished,Alan Barnes,2010-03-29,5,649100,0.08,Office Supplies,Appliances
42561,Order Finished,Beth Paige,2010-02-06,15,2125918,0.07,Technology,Telephones & Communication
42695,Order Finished,Delfina Latchford,2010-12-22,12,1420656,0.02,Technology,Telephones & Communication
42981,Order Finished,Susan Vittorini,2009-05-30,4,7021640,0.05,Office Supplies,Binders & Binder Accessories
43109,Order Finished,Dorothy Wardle,2012-12-21,19,563680,0.06,Office Supplies,Binders & Binder Accessories
43203,Order Returned,Susan Vittorini,2012-02-14,32,450320,0.02,Office Supplies,Paper
43236,Order Finished,Jamie Kunitz,2010-07-03,20,410660,0.0,Furniture,Office Furnishings
43267,Order Finished,Fred Wasserman,2011-05-16,17,2736280,0.05,Office Supplies,Appliances
43329,Order Finished,Doug Bickford,2010-03-07,42,4951660,0.09,Office Supplies,Appliances
43330,Order Finished,Fred Wasserman,2009-04-27,40,4411517,0.03,Technology,Telephones & Communication
43364,Order Finished,Susan Vittorini,2012-04-07,21,1048400,0.04,Office Supplies,Envelopes
43781,Order Finished,Claudia Miner,2010-02-02,45,994280,0.05,Office Supplies,Envelopes
44071,Order Finished,Frank Price,2012-04-15,19,221340,0.08,Office Supplies,Binders & Binder Accessories
44519,Order Finished,Dorothy Wardle,2010-05-19,48,449160,0.03,Office Supplies,Binders & Binder Accessories
44708,Order Finished,Allen Rosenblatt,2009-07-27,15,61360,0.02,Furniture,Office Furnishings
44772,Order Finished,Dorothy Wardle,2009-03-31,1,108154,0.07,Technology,Telephones & Communication
44839,Order Finished,Julia West,2012-06-11,27,1799940,0.09,Furniture,Office Furnishings
45440,Order Finished,Michelle Lonsdale,2012-08-09,5,1496580,0.02,Furniture,Chairs & Chairmats
45766,Order Finished,Charlotte Melton,2010-05-07,37,5044420,0.0,Furniture,Office Furnishings
45861,Order Finished,Allen Rosenblatt,2011-08-25,39,1361717,0.05,Technology,Telephones & Communication
45957,Order Finished,Neola Schneider,2010-09-21,20,1519680,0.06,Technology,Computer Peripherals
46912,Order Finished,Joy Bell,2012-06-30,5,588000,0.0,Furniture,Office Furnishings
46980,Order Finished,Monica Federle,2011-01-17,34,432600,0.01,Office Supplies,Labels
47460,Order Finished,Jamie Kunitz,2010-10-10,12,63200,0.1,Office Supplies,Pens & Art Supplies
47462,Order Finished,Susan Vittorini,2011-06-09,43,308360,0.08,Office Supplies,Binders & Binder Accessories
47620,Order Returned,Charles Mc Crossin,2012-06-26,27,604400,0.04,Office Supplies,"Scissors, Rulers & Trimmers"
47749,Order Finished,Cari Schnelling,2010-03-16,46,799160,0.04,Office Supplies,"Scissors, Rulers & Trimmers"
47873,Order Finished,Doug Bickford,2010-11-13,8,104780,0.08,Furniture,Office Furnishings
47943,Order Finished,Don Miller,2009-11-14,12,122180,0.04,Office Supplies,Labels
48101,Order Finished,Fred Wasserman,2011-09-12,4,217740,0.05,Office Supplies,Paper
48839,Order Finished,Carlos Daly,2010-07-10,1,194260,0.05,Office Supplies,Labels
49154,Order Finished,Joy Bell,2009-03-06,26,3047000,0.07,Office Supplies,Appliances
49921,Order Finished,Claudia Miner,2011-02-17,5,1512300,0.06,Technology,Office Machines
49952,Order Finished,Beth Thompson,2011-11-19,12,2647340,0.04,Furniture,Office Furnishings
50117,Order Finished,Allen Rosenblatt,2011-06-03,17,94880,0.09,Office Supplies,Labels
50278,Order Finished,Beth Thompson,2010-05-25,2,102420,0.0,Office Supplies,Binders & Binder Accessories
50374,Order Returned,Susan Vittorini,2009-05-30,30,6964820,0.05,Office Supplies,Binders & Binder Accessories
50565,Order Finished,Sylvia Foulston,2012-08-30,43,1366920,0.09,Office Supplies,Envelopes
50688,Order Finished,Joy Bell,2011-12-16,50,1200440,0.08,Office Supplies,"Scissors, Rulers & Trimmers"
50754,Order Finished,Becky Castell,2009-12-09,9,128061,0.06,Technology,Telephones & Communication
51169,Order Finished,Cari Schnelling,2010-12-24,2,583320,0.08,Furniture,Office Furnishings
51938,Order Finished,Jim Radford,2011-05-17,5,1006655,0.06,Technology,Telephones & Communication
51970,Order Finished,Allen Rosenblatt,2012-01-11,1,343420,0.06,Technology,Office Machines
51971,Order Finished,Dorothy Badders,2011-10-03,39,2652080,0.02,Office Supplies,Storage & Organization
52193,Order Finished,Mike Pelletier,2010-03-05,1,35780,0.04,Office Supplies,Labels
52321,Order Finished,Doug Bickford,2011-11-05,48,1234520,0.04,Office Supplies,Storage & Organization
52386,Order Finished,Susan Vittorini,2009-01-05,6,1401460,0.08,Technology,Office Machines
52807,Order Finished,Andrew Gjertsen,2010-11-25,28,1335100,0.0,Office Supplies,Pens & Art Supplies
52929,Order Finished,Muhammed Mac Intyre,2011-04-08,43,1402920,0.04,Technology,Office Machines
52964,Order Finished,Jim Radford,2010-03-31,44,11471580,0.08,Furniture,Office Furnishings
53156,Order Finished,Bryan Davis,2012-03-10,47,373860,0.07,Office Supplies,Labels
53511,Order Finished,Anthony Johnson,2009-02-20,41,482200,0.07,Office Supplies,Binders & Binder Accessories
53797,Order Finished,Doug Bickford,2009-10-01,10,1247420,0.01,Furniture,Bookcases
53990,Order Finished,Carlos Daly,2012-11-01,44,8527863,0.04,Technology,Telephones & Communication
54083,Order Finished,Don Miller,2011-07-21,10,5400820,0.08,Office Supplies,Appliances
54274,Order Finished,Don Jones,2010-11-23,20,3166120,0.05,Office Supplies,Appliances
54276,Order Finished,Chad Cunningham,2010-02-06,21,1513200,0.0,Office Supplies,Paper
54528,Order Finished,Ralph Arnett,2011-01-04,17,414380,0.01,Office Supplies,Pens & Art Supplies
54567,Order Finished,Nicole Hansen,2009-08-02,31,393480,0.09,Furniture,Office Furnishings
54628,Order Finished,Fred Wasserman,2010-06-05,21,942480,0.07,Technology,Computer Peripherals
